Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"HOME_D123","HOME_D123",Boolean,1,R/W,100,,,,,,,,,,"",
"HOMMED_D120","HOMMED_D120",Boolean,1,R/W,100,,,,,,,,,,"",
"HOMMED_D121","HOMMED_D121",Boolean,1,R/W,100,,,,,,,,,,"",
"HOMMED_D122","HOMMED_D122",Boolean,1,R/W,100,,,,,,,,,,"",
"HOMMED_D123","HOMMED_D123",Boolean,1,R/W,100,,,,,,,,,,"",
"HSC1_STATUS","HSC1_STATUS",Byte,1,R/W,100,,,,,,,,,,"",
"INI_BRAZO_CDR","INI_BRAZO_CDR",Double,1,R/W,100,,,,,,,,,,"",
"INI_BRAZO_GM","INI_BRAZO_GM",Double,1,R/W,100,,,,,,,,,,"",
"INI_BRAZO_LO","INI_BRAZO_LO",Double,1,R/W,100,,,,,,,,,,"",
"INI_BRAZO_LT","INI_BRAZO_LT",Double,1,R/W,100,,,,,,,,,,"",
"IP_DRIVE_D120","IP_DRIVE_D120",String,1,R/W,100,,,,,,,,,,"",
"IP_DRIVE_D121","IP_DRIVE_D121",String,1,R/W,100,,,,,,,,,,"",
"IP_DRIVE_D122","IP_DRIVE_D122",String,1,R/W,100,,,,,,,,,,"",
"IP_DRIVE_D123","IP_DRIVE_D123",String,1,R/W,100,,,,,,,,,,"",
"NPOS_BRAZO_CDR","NPOS_BRAZO_CDR",Double,1,R/W,100,,,,,,,,,,"",
"NPOS_BRAZO_GM","NPOS_BRAZO_GM",Double,1,R/W,100,,,,,,,,,,"",
"NPOS_BRAZO_LO","NPOS_BRAZO_LO",Double,1,R/W,100,,,,,,,,,,"",
"NPOS_BRAZO_LT","NPOS_BRAZO_LT",Double,1,R/W,100,,,,,,,,,,"",
"OFFSET_MAX","OFFSET_MAX",Double,1,R/W,100,,,,,,,,,,"",
"POS_BRAZO_CDR","POS_BRAZO_CDR",Double,1,R/W,100,Square Root,0,1E+016,0,1E+016,Double,1,1,"","",0
"POS_BRAZO_GM","POS_BRAZO_GM",Float,1,R/W,100,,,,,,,,,,"",
"POS_BRAZO_LO","POS_BRAZO_LO",Double,1,R/W,100,,,,,,,,,,"",
"POS_BRAZO_LT","POS_BRAZO_LT",Float,1,R/W,100,,,,,,,,,,"",
"PUL_MAX","PUL_MAX",Double,1,R/W,100,,,,,,,,,,"",
"PUL_MIN","PUL_MIN",Double,1,R/W,100,,,,,,,,,,"",
"REF_VAR","REF_VAR",Double,1,R/W,100,,,,,,,,,,"",
"REF_VAR2","REF_VAR2",Double,1,R/W,100,,,,,,,,,,"",
"SYNC_HOJA","SYNC_HOJA",Boolean,1,R/W,100,,,,,,,,,,"",
"tu_aliviada","TU_ALIVIADA",Long,1,R/W,100,,,,,,,,,,"",
"V_MAX","V_MAX",Double,1,R/W,100,,,,,,,,,,"",
"V_MAX_BAND","V_MAX_BAND",Double,1,R/W,100,,,,,,,,,,"",
"V_MIN","V_MIN",Double,1,R/W,100,,,,,,,,,,"",
"V_MIN_BAND","V_MIN_BAND",Double,1,R/W,100,,,,,,,,,,"",
"VALOR_CERO","VALOR_CERO",Double,1,R/W,100,,,,,,,,,,"",
